Date,Description,Amount
2026-01-01,Salary Payment,3200
2026-01-02,Rent Payment,-1800
2026-01-03,Coles Supermarket,-145.60
2026-01-04,Woolworths Groceries,-82.30
2026-01-05,Netflix Subscription,-22.99
2026-01-06,Spotify Premium,-13.99
2026-01-07,Myki Top Up,-50
2026-01-08,Uber Trip,-32.40
2026-01-09,BP Fuel,-86.20
2026-01-10,Childcare Centre,-420
2026-01-11,Coffee Shop,-18.50
2026-01-12,Restaurant Dinner,-95.80
2026-01-13,Kmart Shopping,-76.90
2026-01-14,Phone Bill,-59
2026-01-15,Salary Payment,3200
2026-01-16,Electricity Bill,-185.40
2026-01-17,Amazon Purchase,-120.00
2026-01-18,Medical Pharmacy,-44.20
2026-01-19,Transfer to Savings,-700
2026-01-20,Refund Amazon,60
2026-02-01,Salary Payment,3200
2026-02-02,Rent Payment,-1800
2026-02-03,Coles Supermarket,-151.20
2026-02-04,Woolworths Groceries,-99.10
2026-02-05,Netflix Subscription,-22.99
2026-02-06,Spotify Premium,-13.99
2026-02-07,Myki Top Up,-55
2026-02-08,Uber Trip,-36.70
2026-02-09,Shell Fuel,-91.40
2026-02-10,Childcare Centre,-420
2026-02-11,Coffee Shop,-22.10
2026-02-12,Restaurant Dinner,-118.40
2026-02-13,Target Shopping,-88.90
2026-02-14,Phone Bill,-59
2026-02-15,Salary Payment,3200
2026-02-16,Gas Bill,-102.30
2026-02-17,Amazon Purchase,-89.99
2026-02-18,Dental Clinic,-210
2026-02-19,Transfer to Savings,-600
2026-02-20,Family Transfer Received,250
2026-03-01,Salary Payment,3200
2026-03-02,Rent Payment,-1800
2026-03-03,Coles Supermarket,-160.30
2026-03-04,Woolworths Groceries,-104.90
2026-03-05,Netflix Subscription,-22.99
2026-03-06,Spotify Premium,-13.99
2026-03-07,Myki Top Up,-55
2026-03-08,Uber Trip,-31.40
2026-03-09,BP Fuel,-89.90
2026-03-10,Childcare Centre,-420
2026-03-11,Coffee Shop,-24.20
2026-03-12,Restaurant Dinner,-130.80
2026-03-13,Kmart Shopping,-102.60
2026-03-14,Phone Bill,-59
2026-03-15,Salary Payment,3200
2026-03-16,Water Bill,-92
2026-03-17,Amazon Purchase,-210.50
2026-03-18,Medical Pharmacy,-52.10
2026-03-19,Transfer to Savings,-800
2026-03-20,ATO Refund,620
